initial_mode,states,Wind,GF,GFPRED,GFACT,kill_switch,modes,throttle,max_deviation,max_altitude,duration,final_landing_state,freefall_occurred,mission_complete
OFFBOARD,Takeoff,None,No,None,None,No,AUTO.LAND,0.0,0.16813804000000002,12.619943,73.0,True,False,True
OFFBOARD,Flying,None,No,None,None,No,POSCTL,615.0,0.3361890999999999,12.623992,69.0,True,False,False
OFFBOARD,Takeoff,None,No,None,None,No,POSCTL,260.0,0.10355880000000006,12.852204,81.0,True,False,False
OFFBOARD,Takeoff,None,No,None,None,No,AUTO.RTL,None,0.07721920000000004,12.810899,81.0,True,False,True
AUTO.LAND,Land,None,No,None,None,No,ALTCTL,260.0,0.14106521000000002,12.587056,73.0,True,False,False
AUTO.LAND,Arm,None,No,None,None,No,AUTO.RTL,0.0,0.12952933000000003,12.912843,81.0,True,False,True
AUTO.LAND,Land,None,No,None,None,No,ALTCTL,615.0,0.22720049000000003,12.687033,74.0,True,False,False
OFFBOARD,Flying,None,No,None,None,No,AUTO.LOITER,550.0,14.267777321999999,12.663209,69.0,True,False,False
OFFBOARD,Flying,None,No,None,None,No,AUTO.LOITER,None,0.11080918000000003,12.95197,83.0,True,False,False
AUTO.LAND,Disarm,None,No,None,None,No,ALTCTL,615.0,0.10536237000000001,12.860657,81.0,True,False,True
OFFBOARD,Hover,None,Yes,Yes,None,No,OFFBOARD,0.0,0.17168532000000003,12.628948,73.0,True,False,True
OFFBOARD,Flying,None,No,None,None,No,AUTO.LAND,None,34.5672104,2.1172626,19.0,True,False,False
AUTO.LAND,Land,None,No,None,None,No,ALTCTL,615.0,0.11360067000000001,12.883989,81.0,True,False,False
OFFBOARD,Flying,None,Yes,Yes,Hold mode,No,AUTO.LOITER,None,24.067891000000003,4.9393435,83.0,False,False,False
OFFBOARD,Flying,None,No,None,None,No,POSCTL,0.0,14.255729095,12.641449,66.0,True,False,False
OFFBOARD,Flying,None,No,None,None,No,ALTCTL,260.0,14.261599678,12.643931,66.0,True,False,False
OFFBOARD,Takeoff,None,No,None,None,No,POSCTL,600.0,0.07903439000000001,12.811646,81.0,True,False,False
AUTO.LAND,Arm,None,No,None,None,No,OFFBOARD,None,0.13299073000000003,12.972689,78.0,True,False,True
OFFBOARD,Flying,None,No,None,None,No,OFFBOARD,615.0,0.23107388,12.717935,74.0,True,False,False
AUTO.LAND,Land,None,No,None,None,No,ALTCTL,None,0.10186857000000002,12.840452,81.0,True,False,False
OFFBOARD,Hover,None,No,None,None,No,AUTO.LOITER,None,0.10262895000000002,12.836338,81.0,True,False,True
OFFBOARD,Flying,None,No,None,None,No,ALTCTL,615.0,34.6425428,2.0703006,18.0,True,False,False
OFFBOARD,Takeoff,None,Yes,Yes,None,No,ALTCTL,615.0,0.10243770000000008,12.80561,81.0,True,False,False
OFFBOARD,Flying,None,No,None,None,No,ALTCTL,260.0,1.37365066,12.847448,77.0,True,False,False
OFFBOARD,Flying,None,No,None,None,No,ALTCTL,550.0,1.368925737,12.856586,77.0,True,False,False
OFFBOARD,Flying,None,No,None,None,No,AUTO.LAND,0.0,0.10653195000000001,12.673794,83.0,True,False,False
AUTO.LAND,Land,None,No,None,None,No,AUTO.LAND,600.0,0.08035400000000004,12.813873,81.0,True,False,False
OFFBOARD,Flying,None,No,None,None,No,OFFBOARD,600.0,0.10231747000000002,12.834835,81.0,True,False,False
AUTO.LAND,Disarm,None,No,None,None,No,ALTCTL,0.0,0.10139938000000001,12.830509,81.0,True,False,True
OFFBOARD,Flying,None,No,None,None,No,ALTCTL,260.0,34.6355586,2.0772238,19.0,True,False,False
OFFBOARD,Flying,None,Yes,Yes,Hold mode,No,ALTCTL,None,23.52744,4.713761,38.0,True,False,False
AUTO.LAND,Land,None,No,None,None,No,POSCTL,600.0,0.10255896000000003,12.862095,81.0,True,False,False
OFFBOARD,Flying,None,No,None,None,No,OFFBOARD,None,0.09697010000000006,12.850283,81.0,True,False,True
AUTO.LAND,Disarm,None,No,None,None,No,STABILIZED,None,0.18118085000000003,12.627168,73.0,True,False,True
OFFBOARD,Flying,None,No,None,None,No,ALTCTL,0.0,34.5347584,2.1216788,19.0,True,False,False
OFFBOARD,Flying,None,No,None,None,No,POSCTL,600.0,14.252268102999999,12.656484,66.0,True,False,False
AUTO.LAND,Disarm,None,No,None,None,No,OFFBOARD,600.0,0.12905729000000002,12.898904,81.0,True,False,True
OFFBOARD,Flying,None,Yes,Yes,Return mode,No,ALTCTL,None,0.12905729000000002,12.898904,81.0,True,False,True
OFFBOARD,Takeoff,None,No,None,None,No,AUTO.LOITER,615.0,34.589518500000004,0.05150204,78.0,True,False,False
AUTO.LAND,Arm,None,No,None,None,No,STABILIZED,None,0.09963300000000008,12.831689,81.0,True,False,True
OFFBOARD,Flying,None,No,None,None,No,AUTO.LOITER,0.0,0.14389809999999992,12.5794935,76.0,True,False,False
OFFBOARD,Takeoff,None,No,None,None,No,STABILIZED,None,0.0903830000000001,12.830818,81.0,True,False,True
OFFBOARD,Hover,None,No,None,None,No,ALTCTL,615.0,14.8659191,12.5076685,48.0,True,False,False
