timestamp,device_id,min_distance,max_distance,current_distance,variance,h_fov,v_fov,q[0],q[1],q[2],q[3],signal_quality,type,orientation
6977632000,10118148,0.01,5.0,1.86,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6977684000,10118148,0.01,5.0,1.81,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6977736000,10118148,0.01,5.0,1.88,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6977788000,10118148,0.01,5.0,1.9599999,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6977840000,10118148,0.01,5.0,2.04,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6977892000,10118148,0.01,5.0,3.09,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6977944000,10118148,0.01,5.0,2.85,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6977996000,10118148,0.01,5.0,2.95,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6978044000,10118148,0.01,5.0,3.1,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6978096000,10118148,0.01,5.0,3.83,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6978148000,10118148,0.01,5.0,4.02,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6978200000,10118148,0.01,5.0,4.0699997,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6978256000,10118148,0.01,5.0,4.8199997,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6978308000,10118148,0.01,5.0,4.97,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6978360000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6978412000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6978464000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6978512000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6978568000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6978620000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6978668000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6978724000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6978776000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6978828000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6978880000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6978932000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6978980000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6979036000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6979088000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6979136000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
6979192000,10118148,0.01,5.0,5.0,0.0,0.5235965,0.5235965,1.0,-0.0,-0.0,-0.0,-1,1,0
