timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
6984728000,0.1294942,0.31324536,-1.0875316,0.0,0.83829904,0.13522264,0.100140855,-0.5185956,0.0,0.0,-0.45121855,0,0,0,0,0
6984768000,0.12789434,0.31222314,-1.0886191,0.0,0.83820957,0.13435012,0.1000488,-0.5189846,0.0,0.0,-0.4513819,0,0,0,0,0
6984824000,0.12134169,0.30126342,-1.0898895,0.0,0.8392004,0.1289091,0.09701612,-0.5193391,0.0,0.0,-0.44710484,0,0,0,0,0
6984872000,0.11883017,0.29520908,-1.0913233,0.0,0.8394652,0.12639709,0.09500832,-0.5198994,0.0,0.0,-0.44415084,0,0,0,0,0
6984928000,0.1127981,0.28341794,-1.0928633,0.0,0.84033805,0.12095317,0.09147908,-0.520417,0.0,0.0,-0.4400528,0,0,0,0,0
6984968000,0.122801356,0.30570135,-1.0961041,0.0,0.83713216,0.13094431,0.098113544,-0.521955,0.0,0.0,-0.44875917,0,0,0,0,0
6985024000,0.11759398,0.29366893,-1.0977595,0.0,0.83798546,0.12579325,0.09427187,-0.5225603,0.0,0.0,-0.44521916,0,0,0,0,0
6985072000,0.114797644,0.28770947,-1.0993168,0.0,0.8382092,0.1231789,0.092382506,-0.52316135,0.0,0.0,-0.44329965,0,0,0,0,0
6985128000,0.12150663,0.30326903,-1.102138,0.0,0.8358335,0.13008007,0.09702943,-0.52444905,0.0,0.0,-0.44966167,0,0,0,0,0
6985168000,0.12027839,0.30187896,-1.1033139,0.0,0.8357154,0.12926985,0.09668789,-0.5249004,0.0,0.0,-0.45001063,0,0,0,0,0
6985224000,0.11460103,0.29005542,-1.1042733,0.0,0.83674383,0.12392478,0.09312033,-0.52519614,0.0,0.0,-0.4455387,0,0,0,0,0
6985272000,0.11170567,0.2853904,-1.1049886,0.0,0.8370864,0.12155316,0.09186495,-0.5254256,0.0,0.0,-0.44418532,0,0,0,0,0
6985328000,0.118431725,0.29797944,-1.1057998,0.0,0.83548886,0.12762286,0.095365904,-0.525905,0.0,0.0,-0.44942346,0,0,0,0,0
6985376000,0.115223125,0.29233444,-1.1059742,0.0,0.8360837,0.12484712,0.093814135,-0.525905,0.0,0.0,-0.44861728,0,0,0,0,0
6985424000,0.11244392,0.28674105,-1.1060511,0.0,0.8366607,0.122256756,0.092176974,-0.5258855,0.0,0.0,-0.44610175,0,0,0,0,0
6985472000,0.11176361,0.2823425,-1.1060702,0.0,0.837026,0.12084611,0.09049589,-0.5259222,0.0,0.0,-0.44448307,0,0,0,0,0
6985520000,0.110043086,0.27686507,-1.1060706,0.0,0.8375321,0.118721485,0.088633,-0.5259176,0.0,0.0,-0.4430883,0,0,0,0,0
6985576000,0.11495953,0.289125,-1.1060776,0.0,0.8363184,0.1239205,0.092521116,-0.52598006,0.0,0.0,-0.447163,0,0,0,0,0
