timestamp,nav_state_timestamp,failsafe_timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,armed_time,takeoff_time,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
7028892000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7029396000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7029900000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7030404000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7030908000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7031412000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7031916000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7032420000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7032924000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7033428000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7033932000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7034436000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7034940000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7035444000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7035948000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7036452000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7036956000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7037460000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7037964000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7038468000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7038972000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7039476000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7039980000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7040484000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7040916000,7040916000,0,807960620,271089676,271482927,6970972000,6976280000,18,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7041420000,7040916000,0,807960620,271089676,271482927,6970972000,6976280000,18,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7041888000,7040916000,0,807960620,271089676,271482927,6970972000,6976280000,18,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7042392000,7040916000,0,807960620,271089676,271482927,6970972000,6976280000,18,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7042896000,7040916000,0,807960620,271089676,271482927,6970972000,6976280000,18,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7043400000,7040916000,0,807960620,271089676,271482927,6970972000,6976280000,18,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7043904000,7040916000,0,807960620,271089676,271482927,6970972000,6976280000,18,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7044408000,7040916000,0,807960620,271089676,271482927,6970972000,6976280000,18,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7044912000,7040916000,0,807960620,271089676,271482927,6970972000,6976280000,18,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7045416000,7040916000,0,807960620,271089676,271482927,6970972000,6976280000,18,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7045920000,7040916000,0,807960620,271089676,271482927,6970972000,6976280000,18,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7046424000,7040916000,0,807960620,271089676,271482927,6970972000,0,18,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7046928000,7040916000,0,807960620,271089676,271482927,6970972000,0,18,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7047432000,7040916000,0,807960620,271089676,271482927,6970972000,0,18,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7047936000,7040916000,0,807960620,271089676,271482927,6970972000,0,18,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7048008000,7040916000,0,807960620,271089676,271482927,0,0,18,1,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7048512000,7040916000,0,807960620,271089676,271482927,0,0,18,1,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
