timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
7000456000,912000,1,1310988,6620172,1310988,197388,0.019129982,0.01809506,0.018149167,0.01917945,0.018146783,0.018198615,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
7001464000,912000,1,1310988,6620172,1310988,197388,0.015880676,0.014551555,0.014532216,0.016198251,0.014677544,0.014650721,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
7002472000,912000,1,1310988,6620172,1310988,197388,0.017017076,0.016756203,0.016796265,0.017053291,0.016792238,0.016834136,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
7003480000,912000,1,1310988,6620172,1310988,197388,0.01302587,0.011960827,0.011936908,0.013334044,0.012041565,0.012014108,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
7004488000,912000,1,1310988,6620172,1310988,197388,0.012679587,0.011805744,0.011784965,0.012973138,0.011878338,0.011854311,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
7005496000,912000,1,1310988,6620172,1310988,197388,0.011074778,0.010054925,0.010038506,0.011346406,0.010122249,0.010103044,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
7006504000,912000,1,1310988,6620172,1310988,197388,0.014313136,0.013843206,0.013827429,0.014316758,0.013829041,0.013813758,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
7007512000,912000,1,1310988,6620172,1310988,197388,0.024473177,0.024632482,0.024659185,0.024455251,0.02464861,0.024674715,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
7008520000,912000,1,1310988,6620172,1310988,197388,0.019487085,0.01971135,0.019732943,0.01946646,0.019722324,0.019743461,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
7009528000,912000,1,1310988,6620172,1310988,197388,0.01756833,0.017426772,0.01743855,0.017577505,0.017435752,0.01744501,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
7010536000,912000,1,1310988,6620172,1310988,197388,0.009587338,0.010321663,0.010314111,0.00953531,0.010303535,0.010298634,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
7011544000,912000,1,1310988,6620172,1310988,197388,0.016489057,0.01727042,0.01726538,0.016404308,0.01722113,0.017216109,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
7012552000,912000,1,1310988,6620172,1310988,197388,0.023109365,0.023969432,0.023963228,0.02304329,0.023924021,0.023917641,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
7013560000,912000,1,1310988,6620172,1310988,197388,0.017497635,0.018117147,0.018111339,0.017397381,0.018057266,0.01805126,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
7014568000,912000,1,1310988,6620172,1310988,197388,0.022561098,0.024686087,0.024680516,0.022477219,0.024637155,0.024631355,nan,nan,nan,0.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
