timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho,calibration_count
6981740000,6981714666,6620172,230.77754,13.500087,98583.61,1.1713364,0
6981788000,6981776000,6620172,230.87003,13.499933,98582.52,1.1713235,0
6981860000,6981834666,6620172,230.91495,13.499741,98581.99,1.1713171,0
6981908000,6981896000,6620172,230.87532,13.499552,98582.445,1.1713226,0
6981980000,6981956000,6620172,230.9493,13.499354,98581.61,1.1713126,0
6982028000,6982016000,6620172,231.02065,13.499125,98580.766,1.1713026,0
6982100000,6982074666,6620172,230.98894,13.498907,98581.125,1.1713068,0
6982148000,6982136000,6620172,230.89645,13.498667,98582.22,1.1713198,0
6982216000,6982192000,6620172,231.13954,13.498439,98579.375,1.171286,0
6982264000,6982252000,6620172,231.07878,13.498209,98580.07,1.1712943,0
6982316000,6982304000,6620172,231.14484,13.497995,98579.29,1.1712849,0
6982388000,6982364000,6620172,231.20296,13.497747,98578.62,1.171277,0
6982436000,6982424000,6620172,231.16069,13.497492,98579.09,1.1712826,0
6982508000,6982484000,6620172,231.29544,13.497229,98577.53,1.1712642,0
6982556000,6982544000,6620172,231.33244,13.496958,98577.09,1.1712589,0
6982624000,6982600000,6620172,231.38527,13.496679,98576.484,1.1712517,0
6982652000,6982652000,6620172,231.58345,13.496454,98574.14,1.1712239,0
6982748000,6982711000,6620172,231.43285,13.496172,98575.914,1.1712449,0
6982772000,6982772000,6620172,231.4672,13.495905,98575.51,1.1712401,0
6982868000,6982831000,6620172,231.47247,13.495615,98575.44,1.1712393,0
6982892000,6982892000,6620172,231.26373,13.495325,98577.914,1.1712687,0
6982988000,6982952000,6620172,231.58345,13.495043,98574.14,1.1712239,0
6983012000,6983012000,6620172,231.57025,13.494745,98574.31,1.1712258,0
6983108000,6983071000,6620172,231.56761,13.494463,98574.336,1.1712261,0
6983132000,6983132000,6620172,231.93224,13.494165,98570.05,1.1711752,0
6983228000,6983192000,6620172,231.73405,13.493883,98572.375,1.1712028,0
6983248000,6983248000,6620172,231.81598,13.493586,98571.41,1.1711913,0
6983320000,6983298666,6620172,231.86354,13.493362,98570.86,1.1711848,0
6983372000,6983360000,6620172,231.7737,13.493067,98571.92,1.1711975,0
6983444000,6983420000,6620172,231.92432,13.492793,98570.16,1.1711766,0
6983492000,6983478000,6620172,231.9058,13.492487,98570.36,1.1711789,0
6983560000,6983537333,6620172,232.10928,13.492213,98567.984,1.1711507,0
6983588000,6983588000,6620172,232.06436,13.491968,98568.51,1.1711569,0
6983684000,6983647000,6620172,232.0485,13.4916935,98568.68,1.171159,0
6983708000,6983708000,6620172,232.17534,13.491419,98567.195,1.1711413,0
6983804000,6983768000,6620172,232.28104,13.491129,98565.94,1.1711264,0
6983828000,6983828000,6620172,232.10135,13.490839,98568.06,1.1711516,0
6983924000,6983888000,6620172,232.28896,13.490557,98565.86,1.1711255,0
6983948000,6983948000,6620172,232.17798,13.49029,98567.164,1.171141,0
6984044000,6984008000,6620172,232.45543,13.49,98563.91,1.1711023,0
6984068000,6984068000,6620172,232.47127,13.48971,98563.71,1.1710999,0
6984164000,6984128000,6620172,232.43164,13.489443,98564.17,1.1711054,0
6984188000,6984188000,6620172,232.57697,13.489161,98562.48,1.1710854,0
6984284000,6984248000,6620172,232.55847,13.488878,98562.7,1.1710879,0
6984308000,6984308000,6620172,232.7355,13.488611,98560.62,1.1710632,0
6984404000,6984368000,6620172,232.59811,13.488321,98562.234,1.1710824,0
6984424000,6984424000,6620172,232.59283,13.488031,98562.27,1.1710829,0
6984500000,6984474666,6620172,232.76723,13.487819,98560.25,1.1710588,0
6984548000,6984536000,6620172,232.7857,13.487543,98560.016,1.171056,0
6984620000,6984596000,6620172,232.65889,13.487269,98561.5,1.1710737,0
6984668000,6984656000,6620172,232.95482,13.486994,98558.03,1.1710324,0
6984736000,6984712000,6620172,232.86234,13.48671,98559.12,1.1710453,0
6984764000,6984764000,6620172,232.78043,13.486475,98560.086,1.1710569,0
6984856000,6984823000,6620172,232.95746,13.486208,98558.016,1.1710322,0
6984884000,6984884000,6620172,233.0843,13.485926,98556.51,1.1710143,0
6984980000,6984943000,6620172,232.97331,13.485643,98557.81,1.1710298,0
6985004000,6985004000,6620172,232.94426,13.485376,98558.16,1.1710339,0
6985100000,6985064000,6620172,233.1662,13.485086,98555.56,1.1710031,0
6985124000,6985124000,6620172,233.0975,13.484797,98556.375,1.1710128,0
6985220000,6985184000,6620172,233.25339,13.484514,98554.53,1.1709908,0
6985244000,6985244000,6620172,233.30888,13.484247,98553.89,1.1709833,0
6985340000,6985303000,6620172,233.31418,13.483957,98553.81,1.1709824,0
6985364000,6985364000,6620172,233.56255,13.483667,98550.89,1.1709476,0
6985460000,6985424000,6620172,233.35117,13.4834,98553.375,1.1709771,0
6985484000,6985484000,6620172,233.46744,13.483118,98552.01,1.1709609,0
6985580000,6985544000,6620172,233.51764,13.482836,98551.42,1.1709539,0
6985604000,6985604000,6620172,233.50177,13.482538,98551.625,1.1709564,0
6985696000,6985662000,6620172,233.50177,13.482271,98551.61,1.1709561,0
6985724000,6985724000,6620172,233.61804,13.481989,98550.25,1.1709399,0
6985820000,6985784000,6620172,233.60483,13.481707,98550.41,1.1709418,0
6985844000,6985844000,6620172,233.71846,13.48144,98549.06,1.170926,0
6985940000,6985904000,6620172,233.73958,13.48115,98548.82,1.170923,0
6985964000,6985964000,6620172,233.58633,13.48089,98550.625,1.1709445,0
6986060000,6986024000,6620172,233.83472,13.480593,98547.7,1.1709096,0
6986084000,6986084000,6620172,233.95625,13.48031,98546.27,1.1708927,0
6986180000,6986144000,6620172,233.9589,13.480028,98546.24,1.1708924,0
6986200000,6986200000,6620172,233.96155,13.479761,98546.22,1.1708921,0
6986276000,6986252000,6620172,233.9774,13.479518,98546.05,1.17089,0
6986324000,6986312000,6620172,234.02495,13.479242,98545.47,1.1708832,0
6986392000,6986370666,6620172,233.97476,13.478949,98546.06,1.1708902,0
6986444000,6986432000,6620172,234.08308,13.4786625,98544.8,1.1708752,0
6986516000,6986492000,6620172,234.13593,13.478378,98544.17,1.1708677,0
6986564000,6986552000,6620172,234.13329,13.478083,98544.22,1.1708684,0
6986636000,6986612000,6620172,234.18878,13.477809,98543.56,1.1708605,0
6986684000,6986672000,6620172,234.2839,13.477533,98542.445,1.1708472,0
6986756000,6986732000,6620172,234.23105,13.47724,98543.055,1.1708546,0
6986804000,6986792000,6620172,234.2892,13.4769535,98542.36,1.1708463,0
6986876000,6986852000,6620172,234.3209,13.476669,98541.99,1.1708419,0
6986924000,6986912000,6620172,234.50586,13.476374,98539.81,1.170816,0
6986996000,6986972000,6620172,234.51378,13.4761,98539.72,1.1708149,0
6987044000,6987032000,6620172,234.65382,13.475809,98538.086,1.1707954,0
6987116000,6987092000,6620172,234.60892,13.47552,98538.625,1.1708019,0
6987160000,6987150000,6620172,234.53757,13.4752445,98539.45,1.1708118,0
6987212000,6987200000,6620172,234.54285,13.475016,98539.375,1.1708108,0
6987284000,6987258666,6620172,234.66174,13.474737,98537.984,1.1707942,0
6987332000,6987320000,6620172,234.6459,13.474451,98538.19,1.1707966,0
6987404000,6987378666,6620172,234.78331,13.474167,98536.56,1.1707773,0
6987452000,6987440000,6620172,234.80179,13.4738865,98536.34,1.1707748,0
6987520000,6987498666,6620172,234.99469,13.473608,98534.086,1.1707479,0
6987572000,6987560000,6620172,234.88107,13.473322,98535.42,1.1707639,0
6987644000,6987620000,6620172,234.99733,13.473048,98534.05,1.1707475,0
6987692000,6987680000,6620172,235.03433,13.472773,98533.61,1.1707423,0
6987764000,6987738666,6620172,235.02376,13.472488,98533.734,1.1707437,0
6987812000,6987800000,6620172,234.98677,13.472208,98534.19,1.1707492,0
6987880000,6987858666,6620172,235.14265,13.471939,98532.34,1.1707271,0
6987932000,6987918000,6620172,235.07924,13.471659,98533.08,1.170736,0
6987980000,6987968000,6620172,235.30385,13.47143,98530.44,1.1707046,0
6988048000,6988025333,6620172,235.24571,13.471167,98531.15,1.1707131,0
6988076000,6988076000,6620172,235.24307,13.470942,98531.16,1.1707132,0
6988172000,6988136000,6620172,235.4069,13.470667,98529.24,1.1706903,0
6988196000,6988196000,6620172,235.29062,13.470392,98530.59,1.1707065,0
6988292000,6988255000,6620172,235.38312,13.470133,98529.516,1.1706936,0
6988316000,6988316000,6620172,235.54428,13.469843,98527.625,1.1706712,0
6988408000,6988374000,6620172,235.53372,13.4695835,98527.766,1.1706729,0
6988436000,6988436000,6620172,235.41483,13.469324,98529.14,1.1706892,0
6988532000,6988495000,6620172,235.5813,13.469034,98527.2,1.1706662,0
6988556000,6988556000,6620172,235.63148,13.468775,98526.59,1.170659,0
6988652000,6988616000,6620172,235.70284,13.4684925,98525.78,1.1706492,0
6988676000,6988676000,6620172,235.77417,13.4682255,98524.93,1.1706392,0
6988772000,6988735000,6620172,235.72131,13.467951,98525.55,1.1706465,0
6988792000,6988792000,6620172,235.8323,13.467676,98524.25,1.170631,0
6988868000,6988842666,6620172,235.75833,13.467453,98525.125,1.1706414,0
6988916000,6988904000,6620172,235.95914,13.467188,98522.75,1.1706132,0
6988988000,6988964000,6620172,235.8508,13.466904,98524.03,1.1706285,0
6989036000,6989024000,6620172,235.95386,13.466639,98522.83,1.1706141,0
6989108000,6989082666,6620172,235.95914,13.466365,98522.75,1.1706132,0
6989152000,6989142000,6620172,235.9195,13.466089,98523.234,1.170619,0
6989204000,6989192000,6620172,236.01463,13.465876,98522.11,1.1706057,0
6989272000,6989249333,6620172,236.09918,13.465612,98521.125,1.170594,0
6989300000,6989300000,6620172,236.1943,13.465387,98519.99,1.1705805,0
6989396000,6989359000,6620172,236.18639,13.465113,98520.09,1.1705817,0
6989420000,6989420000,6620172,236.29207,13.464838,98518.86,1.170567,0
6989516000,6989480000,6620172,236.32379,13.464579,98518.484,1.1705626,0
6989540000,6989540000,6620172,236.3132,13.464289,98518.59,1.1705638,0
6989636000,6989600000,6620172,236.39249,13.464029,98517.66,1.1705527,0
6989660000,6989660000,6620172,236.40305,13.46377,98517.55,1.1705514,0
6989756000,6989720000,6620172,236.46382,13.463488,98516.82,1.1705428,0
6989780000,6989780000,6620172,236.50082,13.463221,98516.41,1.1705378,0
6989876000,6989840000,6620172,236.5061,13.462946,98516.33,1.1705369,0
6989900000,6989900000,6620172,236.55365,13.462671,98515.79,1.1705306,0
6989996000,6989960000,6620172,236.61972,13.462404,98515.0,1.1705211,0
6990020000,6990020000,6620172,236.76505,13.462122,98513.3,1.1705009,0
6990116000,6990079000,6620172,236.70691,13.461855,98513.98,1.170509,0
6990140000,6990140000,6620172,236.7122,13.461573,98513.91,1.1705081,0
6990236000,6990200000,6620172,236.77824,13.461313,98513.15,1.1704992,0
6990260000,6990260000,6620172,236.79147,13.461023,98512.984,1.1704972,0
6990356000,6990320000,6620172,236.8813,13.460764,98511.94,1.1704848,0
6990376000,6990376000,6620172,236.88924,13.460505,98511.836,1.1704836,0
6990452000,6990428000,6620172,236.88924,13.460272,98511.83,1.1704835,0
6990500000,6990488000,6620172,237.10591,13.460001,98509.3,1.1704534,0
6990572000,6990548000,6620172,236.99757,13.4597225,98510.56,1.1704684,0
6990620000,6990608000,6620172,237.0874,13.459452,98509.516,1.170456,0
6990692000,6990668000,6620172,237.11383,13.459173,98509.21,1.1704524,0
6990740000,6990728000,6620172,237.24332,13.458887,98507.68,1.1704341,0
6990812000,6990788000,6620172,237.14554,13.458613,98508.81,1.1704477,0
6990856000,6990846000,6620172,237.28294,13.458338,98507.2,1.1704285,0
6990928000,6990904000,6620172,237.27238,13.458064,98507.36,1.1704304,0
6990976000,6990964000,6620172,237.25124,13.457788,98507.58,1.170433,0
6991024000,6991014000,6620172,237.33842,13.45756,98506.56,1.1704209,0
6991076000,6991064000,6620172,237.3807,13.457331,98506.06,1.170415,0
6991148000,6991122666,6620172,237.3992,13.457057,98505.86,1.1704125,0
6991196000,6991184000,6620172,237.349,13.456766,98506.44,1.1704195,0
6991268000,6991244000,6620172,237.49696,13.456488,98504.69,1.1703986,0
6991312000,6991300000,6620172,237.5181,13.456202,98504.47,1.1703961,0
6991364000,6991352000,6620172,237.7665,13.455973,98501.555,1.1703614,0
6991436000,6991410666,6620172,237.64493,13.455684,98502.97,1.1703782,0
6991480000,6991468000,6620172,237.63173,13.455408,98503.12,1.17038,0
6991532000,6991518000,6620172,237.82726,13.455179,98500.81,1.1703526,0
6991604000,6991578666,6620172,237.68457,13.45489,98502.484,1.1703724,0
6991652000,6991640000,6620172,237.79555,13.454615,98501.2,1.1703572,0
